bus,p_set
0,202.7429083
0,198.6132417
0,202.7950167
0,207.8886333
0,208.3837167
0,205.7391917
0,194.5487917
0,194.2491417
0,205.7521917
0,201.12755
0,193.4545167
0,188.3347917
0,179.9712417
0,173.6921333
0,166.6965083
0,161.824325
0,158.6196083
0,156.6786
0,156.9521417
0,156.5743833
0,156.1184083
0,171.0346083
0,181.5214917
0,187.5661667
0,185.6511583
0,181.4693833
0,183.7752583
0,185.4948333
0,185.6902667
0,184.218125
0,181.23495
0,186.042025
0,197.1021
0,194.8483333
0,187.48795
0,181.9644667
0,175.4638167
0,168.650625
0,162.9056
0,155.77965
0,151.9106333
0,148.4192667
0,151.9627417
0,150.8814667
0,146.0222833
0,152.8745833
0,160.560725
0,166.8398333
0,165.6022333
0,165.875775
0,168.363975
0,168.337975
0,168.8590583
0,166.7356167
0,165.6283417
0,173.3534833
0,187.005975
0,185.429725
0,179.6585917
0,177.4830417
0,168.7418417
0,162.3194083
0,156.6134917
0,151.3504417
0,149.6568667
0,148.0936167
0,150.8293583
0,156.535275
0,165.2765833
0,187.7616
0,197.3105333
0,204.9184583
0,203.5505333
0,200.4501417
0,205.9345167
0,209.8036417
0,211.0282417
0,207.34155
0,195.994825
0,195.0437667
0,206.3383833
0,203.4333167
0,195.52585
0,191.0835333
0,183.0326333
0,173.7442417
0,169.275925
0,164.012875
0,160.6258333
0,159.50545
0,160.3522917
0,164.299525
0,171.1909333
0,189.8589333
0,199.3818667
0,204.8272417
0,203.64175
0,199.5511917
0,205.5567583
0,209.1913417
0,211.562325
0,208.3446083
0,194.3403583
0,194.3793583
0,204.5928083
0,202.0785
0,192.308025
0,189.2466333
0,181.9514667
0,173.2361583
0,168.1555417
0,163.1140333
0,157.785875
0,156.4961667
0,158.9192583
0,160.3261833
0,166.3578583
0,186.0289167
0,194.3403583
0,199.2125417
0,197.9619417
0,194.32725
0,199.420975
0,202.3260417
0,202.7689083
0,199.134325
0,187.46195
0,189.8850417
0,200.0983833
0,196.0990417
0,189.6896083
0,185.1821833
0,178.0302333
0,171.32115
0,164.5339583
0,160.7821583
0,157.2647917
0,155.896975
0,156.39195
0,159.8312083
0,165.4459083
0,183.09785
0,190.9272083
0,196.932775
0,195.8385
0,194.0928167
0,200.2156
0,203.3421
0,204.2019417
0,200.1634917
0,190.0803667
0,191.5134
0,200.3328167
0,196.0469333
0,191.6046167
0,188.1263583
0,179.8801333
0,172.3503167
0,165.4720167
0,160.6909417
0,158.1376333
0,156.0011917
0,155.76665
0,158.8280417
0,164.325525
0,181.3000583
0,189.5983917
0,193.66295
0,193.1157583
0,190.093475
0,196.6722333
0,202.7429083
0,203.9284
0,201.8700667
0,191.643725
0,191.20075
0,201.8830667
0,198.0791583
0,192.907325
0,189.194525
0,182.5506583
0,173.2492667
0,167.2305917
0,164.2734167
0,161.34235
0,157.0693583
0,157.2647917
0,156.509275
0,155.3758917
0,169.288925
0,176.7144167
0,182.654875
0,182.5636583
0,178.6946417
0,185.6381583
0,189.806825
0,189.8589333
0,186.4718917
0,181.3391667
0,185.5339417
0,200.2286
0,197.0499917
0,194.6009
0,192.581675
0,185.4948333
0,177.991125
0,172.2201
0,166.800725
0,161.9285417
0,158.3330667
0,157.2777917
0,155.610325
0,149.3442167
0,155.8187583
0,162.110975
0,165.7455583
0,167.699675
0,169.7840083
0,176.0891167
0,177.053175
0,177.8869083
0,175.1511667
0,171.164825
0,177.378825
0,189.4029583
0,185.2081833
0,185.3515083
0,182.4334417
0,174.7864083
0,167.1784833
0,161.5767833
0,156.5873833
0,151.858525
0,151.3504417
0,152.5880417
0,157.2387917
0,165.1592583
0,188.0090333
0,195.0567667
0,201.4402
0,200.2286
0,196.5289083
0,202.0263917
0,205.7651917
0,206.3253833
0,202.1046083
0,191.357075
0,191.057425
0,200.1634917
0,196.6070167
0,192.3992417
0,188.4390083
0,180.1145667
0,172.2201
0,167.9341083
0,162.2541917
0,158.24185
0,156.3008417
0,157.62955
0,160.4044
0,166.2145333
0,186.2894583
0,194.457575
0,199.7987333
0,198.1182667
0,195.082875
0,202.9773417
0,206.0778417
0,206.260275
0,201.8179583
0,190.7968833
0,192.2299167
0,200.7236833
0,196.80245
0,191.9172667
0,187.5921667
0,180.166675
0,172.076775
0,166.175425
0,161.4465667
0,158.0334167
0,157.4081167
0,158.84115
0,161.511675
0,166.97005
0,186.8105417
0,192.907325
0,197.6752917
0,197.40175
0,195.8645
0,202.1436083
0,205.9997333
0,206.4817083
0,201.8439583
0,190.2106917
0,189.2597417
0,201.7397417
0,197.6752917
0,194.0277083
0,190.9011
0,181.2088417
0,173.2492667
0,167.9211083
0,162.4757333
0,159.46645
0,157.0954667
0,159.5575583
0,162.6841667
0,167.7907833
0,188.3217917
0,194.8353333
0,201.3359833
0,201.0363333
0,200.2807083
0,206.8204667
0,210.4289417
0,209.360775
0,204.9444583
0,195.4737417
0,193.0897583
0,204.097725
0,200.3980333
0,196.7243417
0,193.1808667
0,184.8825333
0,176.7144167
0,171.2430417
0,166.162425
0,162.0718667
0,160.2349667
0,160.6909417
0,162.5278417
0,166.6052917
0,186.3155667
0,193.0897583
0,198.209375
0,197.584075
0,195.9817167
0,200.4240333
0,204.2279417
0,204.2279417
0,199.88995
0,191.6176167
0,190.3540167
0,200.5933583
0,197.1412083
0,193.2720833
0,189.95015
0,183.74915
0,176.5842
0,171.4253667
0,164.7293917
0,159.9875333
0,156.9261417
0,156.7307083
0,157.3690083
0,156.35295
0,169.7187917
0,177.1443917
0,182.2641167
0,180.9223
0,178.1735583
0,183.592825
0,183.4365
0,182.3683333
0,180.3751083
0,178.3819917
0,181.417275
0,193.2850833
0,190.093475
0,185.8334833
0,182.355225
0,174.7604083
0,168.2858667
0,162.6450583
0,158.5675
0,154.9329167
0,152.470825
0,151.1550083
0,151.1550083
0,152.00185
0,152.00185
0,159.1406917
0,162.9316
0,164.5470667
0,166.9049417
0,170.4874167
0,172.8454
0,174.2914333
0,172.102775
0,170.0054417
0,175.6201417
0,188.7907667
0,187.631275
0,187.1231917
0,184.7913167
0,176.7926333
0,168.8590583
0,163.9477667
0,159.6096667
0,155.428
0,153.8126417
0,155.6494333
0,160.1828583
0,169.4843583
0,189.4420667
0,199.0431083
0,203.3812083
0,202.234825
0,199.9550583
0,206.4556
0,210.4159417
0,213.451225
0,208.8656917
0,197.857725
0,195.3564167
0,206.0908417
0,202.6646917
0,197.558075
0,194.3793583
0,186.354675
0,177.1182833
