name,bus,p_nom,carrier,efficiency,capital_cost,marginal_cost,build_year,lifetime,,,lifetime,capex,effiency
PLTD_Kuala_Kurun_#03_MITSUBISHI),16,1.33,Oil,0.25,1.2,3,2018,25,,,,,
PLTD_Kuala_Kurun_#04_MITSUBISHI),16,1.33,Oil,0.25,1.2,3,2018,25,,,,,
PLTD_Kuala_Kurun_#05_MITSUBISHI),16,1.33,Oil,0.25,1.2,3,2018,25,,,,,
PLTD_Kuala_Kurun_Unit_2-3,16,2.66,Oil,0.25,1.2,3,2021,25,,,,,
PLTD_Kuala_Kurun_Unit_4,16,1.33,Oil,0.25,1.2,3,2021,25,,,,,
PLTD_Kuala_Pembuang_#01_(MWM),14,0.22,Oil,0.25,1.2,3,1991,25,,,,,
PLTD_Kuala_Pembuang_#02_(DEUTZ_MWM),14,0.528,Oil,0.25,1.2,3,2005,25,,,,,
PLTD_Kuala_Pembuang_#03_(DEUTZ_MWM),14,0.528,Oil,0.25,1.2,3,2008,25,,,,,
PLTD_Kuala_Pembuang_#04_(DEUTZ_MWM),14,0.528,Oil,0.25,1.2,3,2008,25,,,,,
PLTD_Kuala_Pembuang_#05_(MITSUBISHI),14,1.33,Oil,0.25,1.2,3,2018,25,,,,,
PLTD_Kuala_Pembuang_#06_(MITSUBISIH),14,1.33,Oil,0.25,1.2,3,2018,25,,,,,
PLTD_Kuala_Pembuang_#07_(MITSUBISHI),14,1.33,Oil,0.25,1.2,3,2018,25,,,,,
PLTD_Kuala_Pembuang_#08_(MITSUBISHI),14,1.33,Oil,0.25,1.2,3,2018,25,,,,,
PLTD_Kuala_Pembuang_Unit_7,14,1.33,Oil,0.25,1.2,3,2020,25,,,,,
PLTD_Kuala_Pembuang_Unit_9,14,1,Oil,0.25,1.2,3,2021,25,,,,,
PLTD_Kudangan,13,0.29,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Kumai,13,11,Oil,0.25,1.2,3,2004,25,,,,,
PLTD_Lanjak,10,0.66,Oil,0.25,1.2,3,2005,25,,,,,
PLTD_Lemukutan,4,0.412,Oil,0.25,1.2,3,2001,25,,,,,
PLTD_Long_Apari,39,0.64,Oil,0.25,1.2,3,2015,25,,,,,
PLTD_Long_Bagun,44,0.3,Oil,0.25,1.2,3,1997,25,,,,,
PLTD_Long_Bagun_Pemkab,44,0.52,Oil,0.25,1.2,3,2015,25,,,,,
PLTD_Long_Beluah,63,0.5,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Long_Iram,45,1.44,Oil,0.25,1.2,3,2001,25,,,,,
PLTD_Long_Iram_Pemkab,45,0.5,Oil,0.25,1.2,3,2001,25,,,,,
PLTD_Long_Pahangai,39,0.6,Oil,0.25,1.2,3,2015,25,,,,,
PLTD_Long_Peso,60,0.443,Oil,0.25,1.2,3,1992,25,,,,,
PLTD_Long_Segar,44,0.44,Oil,0.25,1.2,3,1998,25,,,,,
PLTD_Lontar,26,2.62,Oil,0.25,1.2,3,1991,25,,,,,
PLTD_Lumbis_Ogong,61,0.5,Oil,0.25,1.2,3,2016,25,,,,,
PLTD_Luwe_Hulu,37,0.48,Oil,0.25,1.2,3,1987,25,,,,,
PLTD_Maburai,35,1.88,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Malinau,60,10.64,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Malinau_Kaltimex,60,2,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Malinau_Pemkab,60,7.672,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Mangkatip,21,0.44,Oil,0.25,1.2,3,1984,25,,,,,
PLTD_Manis_Mata,10,0.232,Oil,0.25,1.2,3,1997,25,,,,,
PLTD_Manukung,9,0.232,Oil,0.25,1.2,3,1998,25,,,,,
PLTD_Mara,63,0.5,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Marabatuan,26,0.3,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Marau,9,0.246,Oil,0.25,1.2,3,1990,25,,,,,
PLTD_Melak,53,24.61,Oil,0.25,1.2,3,2001,25,,,,,
PLTD_Melak_Kaltimex,53,6,Oil,0.25,1.2,3,2001,25,,,,,
PLTD_Melak_Pemkab,53,5.2,Oil,0.25,1.2,3,2001,25,,,,,
PLTD_Melak_Sewatama,53,4,Oil,0.25,1.2,3,2001,25,,,,,
PLTD_Mendawai,17,1.352,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Mentobi_Raya,13,1.7,Oil,0.25,1.2,3,2005,25,,,,,
PLTD_Menyurai,10,12.21,Oil,0.25,1.2,3,1986,25,,,,,
PLTD_Merasa,56,0.28,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Merawan_Lama,21,0.28,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Montalat,21,0.26,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Muara_Aloh,42,0.16,Oil,0.25,1.2,3,1981,25,,,,,
PLTD_Muara_Bengkal,59,4.548,Oil,0.25,1.2,3,1997,25,,,,,
PLTD_Muara_Kedang,41,0.42,Oil,0.25,1.2,3,1991,25,,,,,
PLTD_Muara_Komam,39,2.79,Oil,0.25,1.2,3,1982,25,,,,,
PLTD_Muara_Laung,21,2.07,Oil,0.25,1.2,3,1987,25,,,,,
PLTD_Muara_Muntai,42,1.5,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Muara_Pahu,53,0.8,Oil,0.25,1.2,3,1992,25,,,,,
PLTD_Muara_Pantuan,56,0.36,Oil,0.25,1.2,3,1998,25,,,,,
PLTD_Muara_Plantau,36,0.18,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Muara_Siran,53,0.18,Oil,0.25,1.2,3,1994,25,,,,,
PLTD_Muara_Teweh,37,8.81,Oil,0.25,1.2,3,2004,25,,,,,
PLTD_Muara_Wahau,47,6.894,Oil,0.25,1.2,3,1995,25,,,,,
PLTD_Muara_Wahau_Altrak,47,3,Oil,0.25,1.2,3,1995,25,,,,,
PLTD_Mulyaharja,22,0.43,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Nanga_Ella,9,1.445,Oil,0.25,1.2,3,2005,25,,,,,
PLTD_Nanga_Erak,10,0.57,Oil,0.25,1.2,3,1990,25,,,,,
PLTD_Nanga_Lebang,10,0.218,Oil,0.25,1.2,3,1987,25,,,,,
PLTD_Nanga_Merakai,10,0.6,Oil,0.25,1.2,3,2011,25,,,,,
PLTD_Nanga_Sayan,9,1.029,Oil,0.25,1.2,3,1993,25,,,,,
PLTD_Nanga_Silat,9,0.748,Oil,0.25,1.2,3,1979,25,,,,,
PLTD_Nanga_Tayap,9,0.75,Oil,0.25,1.2,3,,25,,,,,
PLTD_Ngabang,11,1.72,Oil,0.25,1.2,3,,25,,,,,
PLTD_Nibung,10,0.08,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Nunukan,61,11.198,Oil,0.25,1.2,3,1977,25,,,,,
PLTD_Nunukan_Pemkab,61,7.02,Oil,0.25,1.2,3,1977,25,,,,,
PLTD_Padang_Tikar,5,3.375,Oil,0.25,1.2,3,,25,,,,,
PLTD_Pagatan,17,5,Oil,0.25,1.2,3,1983,25,,,,,
PLTD_Panangkalaan,34,8.534,Oil,0.25,1.2,3,1986,25,,,,,
PLTD_Pangkalan_Bun,13,7.12,Oil,0.25,1.2,3,1983,25,,,,,
PLTD_Pangkut,13,0.8,Oil,0.25,1.2,3,1987,25,,,,,
PLTD_Pendang,21,0.3,Oil,0.25,1.2,3,1988,25,,,,,
PLTD_Pengadan,59,0.62,Oil,0.25,1.2,3,2016,25,,,,,
PLTD_Penyinggahan,41,0.56,Oil,0.25,1.2,3,1992,25,,,,,
PLTD_Petung,53,5.812,Oil,0.25,1.2,3,1984,25,,,,,
PLTD_Piasak,10,0.222,Oil,0.25,1.2,3,1996,25,,,,,
PLTD_Pujon,19,0.981,Oil,0.25,1.2,3,1991,25,,,,,
