type,node0,lon0,lat0,id,bus0,location0,p_nom,carrier,type1,node1,lon1,lat1,bus1,location1,loc_connection
generator,PLTD_Kantuk,110.607,0.124,,,Kalimantan Barat,0.14,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Tumbang_Titi,110.611,-1.846,,,Kalimantan Barat,1.35,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Air_Hitam,110.625,-2.793,,,Kalimantan Barat,1.05,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Marau,110.708,-2.125,,,Kalimantan Barat,0.246,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Kuala_Jelai,110.739,-2.985,,,Kalimantan Tengah,0.92,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Air_Upas,110.8,-2.303,,,Kalimantan Barat,0.695,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Balai_Karangan,110.828,0.435,,,Kalimantan Barat,4.69,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Sekadau,110.89,0.021,,,Kalimantan Barat,2.345,Oil,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTMH_Batu_Menang,110.959,-1.984,,,Kalimantan Barat,0.1,Run_of_River,substation,GI_Tayan,110.0932,0.0015,9,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Manis_Mata,111.028,-2.448,,,Kalimantan Barat,0.232,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Senaning,111.032,0.908,,,Kalimantan Barat,0.488,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Kudangan,111.043,-1.61,,,Kalimantan Tengah,0.29,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sinar_Pekayau,111.082,0.333,,,Kalimantan Barat,0.505,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Jasa,111.148,1.004,,,Kalimantan Barat,0.306,Oil,substation,GI_Ngabang,110.001,0.3534,10,Kalimantan Barat,Kalimantan Barat
generator,PLTD_Sukamara_#03_(MWM),111.164,-2.717,,,Kalimantan Tengah,0.22,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sukamara_#04_(DEUTZ),111.164,-2.717,,,Kalimantan Tengah,0.24,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sukamara_#05_(DEUTZ_AG),111.164,-2.717,,,Kalimantan Tengah,0.7,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sukamara_#06_(MTU),111.164,-2.717,,,Kalimantan Tengah,0.528,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
generator,PLTD_Sukamara_#07_(MITSUBITSI),111.164,-2.717,,,Kalimantan Tengah,1.33,Oil,substation,GI_Pangkalanbun,111.7037,-2.6152,13,Kalimantan Tengah,Kalimantan Tengah
