type,node0,lon0,lat0,bus0,p_nom,carrier,voltage,type1,node1,lon1,lat1,bus1
generator,PLTD_Simpang_Sepaku_Mitsubishi_Unit_9,111.502,-2.209,,1.33,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Simpang_Sepaku_Mitsubishi_Unit_56,111.503,-2.209,,2.66,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Menyurai,111.511,0.086,,12.21,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Nanga_Merakai,111.517,0.688,,0.6,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Kota_Baru,111.542,-0.8,,0.331,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Ketungau,111.62,0.357,,0.213,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Nanga_Lebang,111.644,0.218,,0.218,Oil,,substation,GI_Ngabang,110.001,0.3534,10
generator,PLTD_Nanga_Sayan,111.676,-0.714,,1.029,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Kayan,111.69,-0.172,,0.337,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Mentobi_Raya,111.694,-1.986,,1.7,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTU_Pangkalan_Bun_(PT._Eksploitasi_Energi_Indonesia),111.703,-2.771,,14,Coal,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
substation,GI_Pangkalanbun,111.7037,-2.6152,13,,,150,#VALUE!,,,,
generator,PLTD_Sidomulyo_Pinoh,111.707,-0.342,,0.576,Oil,,substation,GI_Tayan,110.0932,0.0015,9
generator,PLTD_Kumai,111.728,-2.725,,11,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Pangkalan_Bun,111.731,-2.73,,7.12,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Sewa_PGL_Pangkalan_Bun,111.731,-2.73,,4,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
generator,PLTD_Sewa_Kaltimex_Pangkalan_Bun,111.731,-2.73,,14,Oil,,substation,GI_Pangkalanbun,111.7037,-2.6152,13
