name,bus,p_nom,carrier,marginal_cost,",name,bus,p_nom,carrier,marginal_cost,",,plant_type,$/MWh
PLTD_Kuala_Pembuang_#01_(MWM),14,0.22,Oil,3,",PLTD_Kuala_Pembuang_#01_(MWM),14,0.22,Oil,3,",,,
PLTD_Kuala_Pembuang_#05_(MITSUBISHI),14,1.33,Oil,3,",PLTD_Kuala_Pembuang_#05_(MITSUBISHI),14,1.33,Oil,3,",,,
PLTD_Kuala_Pembuang_#06_(MITSUBISIH),14,1.33,Oil,3,",PLTD_Kuala_Pembuang_#06_(MITSUBISIH),14,1.33,Oil,3,",,,
PLTD_Kuala_Pembuang_#07_(MITSUBISHI),14,1.33,Oil,3,",PLTD_Kuala_Pembuang_#07_(MITSUBISHI),14,1.33,Oil,3,",,,
PLTD_Kuala_Pembuang_#08_(MITSUBISHI),14,1.33,Oil,3,",PLTD_Kuala_Pembuang_#08_(MITSUBISHI),14,1.33,Oil,3,",,,
PLTD_Kuala_Pembuang_#02_(DEUTZ_MWM),14,0.528,Oil,3,",PLTD_Kuala_Pembuang_#02_(DEUTZ_MWM),14,0.528,Oil,3,",,,
PLTD_Kuala_Pembuang_#03_(DEUTZ_MWM),14,0.528,Oil,3,",PLTD_Kuala_Pembuang_#03_(DEUTZ_MWM),14,0.528,Oil,3,",,,
PLTD_Kuala_Pembuang_#04_(DEUTZ_MWM),14,0.528,Oil,3,",PLTD_Kuala_Pembuang_#04_(DEUTZ_MWM),14,0.528,Oil,3,",,,
PLTD_Kuala_Pembuang_Unit_7,14,1.33,Oil,3,",PLTD_Kuala_Pembuang_Unit_7,14,1.33,Oil,3,",,,
PLTD_Kuala_Pembuang_Unit_9,14,1,Oil,3,",PLTD_Kuala_Pembuang_Unit_9,14,1,Oil,3,",,,
PLTBg_Unggul_Lestari,14,1,Biomass,3,",PLTBg_Unggul_Lestari,14,1,Biomass,3,",,,
PLTD_Embaloh,10,0.601,Oil,3,",PLTD_Embaloh,10,0.601,Oil,3,",,,
PLTD_UPM_Parenggean,14,2.5,Oil,3,",PLTD_UPM_Parenggean,14,2.5,Oil,3,",,,
PLTD_Bunut,10,0.57,Oil,3,",PLTD_Bunut,10,0.57,Oil,3,",,,
PLTD_ULD_Tumbang_Hiran,14,0.56,Oil,3,",PLTD_ULD_Tumbang_Hiran,14,0.56,Oil,3,",,,
PLTD_Kemangai,10,0.216,Oil,3,",PLTD_Kemangai,10,0.216,Oil,3,",,,
PLTD_Piasak,10,0.222,Oil,3,",PLTD_Piasak,10,0.222,Oil,3,",,,
PLTD_Sawai,10,12.485,Oil,3,",PLTD_Sawai,10,12.485,Oil,3,",,,
PLTD_Rayon_Sampit,17,3.88,Oil,3,",PLTD_Rayon_Sampit,17,3.88,Oil,3,",,,
PLTD_Sewa_Kaltimex_Sampit,17,8,Oil,3,",PLTD_Sewa_Kaltimex_Sampit,17,8,Oil,3,",,,
PLTD_ULD_Tumbang_Kaman,16,1.22,Oil,3,",PLTD_ULD_Tumbang_Kaman,16,1.22,Oil,3,",,,
PLTD_Nanga_Erak,10,0.57,Oil,3,",PLTD_Nanga_Erak,10,0.57,Oil,3,",,,
PLTD_Mendawai,17,1.352,Oil,3,",PLTD_Mendawai,17,1.352,Oil,3,",,,
PLTD_ULD_Telaga,17,0.12,Oil,3,",PLTD_ULD_Telaga,17,0.12,Oil,3,",,,
PLTD_Pagatan,17,5,Oil,3,",PLTD_Pagatan,17,5,Oil,3,",,,
PLTD_ULD_Tumbang_Talaken,16,1,Oil,3,",PLTD_ULD_Tumbang_Talaken,16,1,Oil,3,",,,
PLTD_ULD_Tumbang_Miri,16,1.06,Oil,3,",PLTD_ULD_Tumbang_Miri,16,1.06,Oil,3,",,,
PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#01,16,115.034,Coal,0.13,",PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#01,16,115.034,Coal,0.13,",,,
PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#02,16,115.034,Coal,0.13,",PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#02,16,115.034,Coal,0.13,",,,
PLTD_ULD_Tumbang_Jutuh,16,2.1,Oil,3,",PLTD_ULD_Tumbang_Jutuh,16,2.1,Oil,3,",,,
PLTD_Sebangau,17,0.44,Oil,3,",PLTD_Sebangau,17,0.44,Oil,3,",,,
PLTD_ULD_Tumbang_Tambirah,16,0.16,Oil,3,",PLTD_ULD_Tumbang_Tambirah,16,0.16,Oil,3,",,,
PLTD_ULD_Tumbang_Miwan,16,0.616,Oil,3,",PLTD_ULD_Tumbang_Miwan,16,0.616,Oil,3,",,,
PLTD_Kuala_Kurun_#03_MITSUBISHI),16,1.33,Oil,3,",PLTD_Kuala_Kurun_#03_MITSUBISHI),16,1.33,Oil,3,",,,
