type,node0,node1,coords0,coords1,lon0,lat0,lon1,lat1,length_m
generator,PLTD_PT._Sewatama_Ketapang_1,,,,109.977,-1.802,,,
generator,PLTD_PT._Koperasi_Induk_PLN_KTP,,,,109.977,-1.802,,,
generator,PLTD_PT._Tan_Energi_Marau,,,,110.708,-2.125,,,
generator,PLTD_PT._Aggreko_Nanga_Tayap,,,,110.572,-1.567,,,
generator,PLTD_Sambas,,,,109.296,1.36,,,
generator,PLTMH_Sajingan,,,,109.643,1.62,,,
generator,PLTD_Bengkayang,,,,109.477,0.819,,,
generator,PLTMH_Merasap,,,,109.744,1.124,,,
generator,PLTD_Cempaka_Putih,,,,110.057,1.073,,,
generator,PLTD_Lemukutan,,,,108.712,0.76,,,
generator,PLTD_Area_Singkawang,,,,108.98,0.912,,,
generator,PLTS_Temajuk,,,,109.597,2.007,,,
generator,PLTS_Sidding,,,,110.071,1.252,,,
generator,PLTD_Temajuk,,,,109.602,1.997,,,
generator,PLTMH_Serawak_Energi_BHD_Sajingan_(B),,,,109.68,1.609,,,
generator,PLTD_Pulau_Limbung,,,,109.859,-0.268,,,
generator,PLTS_Pulau_Limbung,,,,109.859,-0.268,,,
generator,PLTD_Tanjung_Saleh,,,,109.148,-0.108,,,
generator,PLTD_Sepuk_Laut,,,,109.078,-0.222,,,
generator,PLTD_Ngabang,,,,109.864,0.386,,,
generator,PLTD_Padang_Tikar,,,,109.272,0.682,,,
generator,PLTD_Batu_Ampar,,,,109.537,0.749,,,
generator,PLTBm_PT_Harjohn_Timber,,,,109.447,-0.179,,,
generator,PLTD_Semboja,,,,110.56,0.135,,,
generator,PLTD_Teraju,,,,110.104,-0.23,,,
generator,PLTD_Kuala_Buayan,,,,110.382,0.106,,,
generator,PLTD_Balai_Karangan,,,,110.828,0.435,,,
generator,PLTD_Sekadau,,,,110.89,0.021,,,
generator,PLTD_Belitang,,,,111.24,0.131,,,
generator,PLTD_Balai_Sepuak,,,,111.206,0.442,,,
generator,PLTD_Menyurai,,,,111.511,0.086,,,
generator,PLTD_Nanga_Silat,,,,111.788,0.343,,,
generator,PLTD_Senaning,,,,111.032,0.908,,,
generator,PLTD_Nanga_Merakai,,,,111.517,0.688,,,
generator,PLTD_Ketungau,,,,111.62,0.357,,,
generator,PLTD_Tebidah,,,,112.184,0.252,,,
generator,PLTD_Sinar_Pekayau,,,,111.082,0.333,,,
generator,PLTD_Nanga_Lebang,,,,111.644,0.218,,,
generator,PLTD_Sidomulyo_Pinoh,,,,111.707,-0.342,,,
generator,PLTD_Kota_Baru,,,,111.542,-0.8,,,
generator,PLTD_Serawai,,,,112.439,-0.331,,,
generator,PLTD_Manukung,,,,112.227,-0.418,,,
generator,PLTD_Nanga_Ella,,,,112.003,-0.398,,,
generator,PLTD_Nanga_Sayan,,,,111.676,-0.714,,,
generator,PLTD_Bora,,,,111.764,-0.628,,,
generator,PLTMH_Bora,,,,111.775,-0.633,,,
generator,PLTD_Tontang,,,,112.223,-0.269,,,
generator,PLTD_Kalan,,,,111.741,-0.336,,,
generator,PLTD_Kayan,,,,111.69,-0.172,,,
generator,PLTD_Kemangai,,,,112.71,-0.243,,,
generator,PLTD_Sawai,,,,112.927,0.885,,,
generator,PLTD_Semitau,,,,111.96,0.543,,,
generator,PLTD_Bunut,,,,112.655,0.528,,,
generator,PLTD_Jongkong,,,,112.278,0.665,,,
generator,PLTD_Embaloh,,,,112.602,0.831,,,
generator,PLTD_Lanjak,,,,112.238,1.034,,,
