node,name,type,lon,lat
245,PLTD_Kerayaan,generator,116.2070,-4.0910
246,PLTD_Kerumputan,generator,116.1720,-4.0490
247,PLTD_Sewa_Kaltimex_Kotabaru,generator,116.2120,-3.2540
248,PLTD_Timpah,generator,114.4790,-1.7190
249,PLTD_Sebangau,generator,113.6390,-3.1480
250,PLTD_Pujon,generator,114.3640,-1.3490
251,PLTD_Sungai_Hanyu,generator,114.0160,-0.9270
252,PLTD_Pendang,generator,114.8740,-1.5060
253,PLTD_Tanjung_Jawa,generator,114.8350,-1.5650
254,PLTD_Muara_Plantau,generator,115.0010,-1.9390
255,PLTD_Bundar,generator,114.9300,-1.4780
256,PLTD_Merawan_Lama,generator,114.8840,-1.4510
257,PLTD_Babai,generator,114.8360,-1.9540
258,PLTD_Mangkatip,generator,114.8510,-2.2240
259,PLTD_Teluk_Betung,generator,114.8630,-1.9780
260,PLTD_Rangga_Ilung,generator,114.8710,-2.3400
261,PLTD_Damparan,generator,114.8680,-2.1380
262,PLTD_Benangin,generator,115.0880,-0.9780
263,PLTD_Tumpung_Laung,generator,114.8160,-1.3210
264,PLTD_Luwe_Hulu,generator,114.9410,-0.7950
265,PLTD_Montalat,generator,114.8940,-1.3230
266,PLTD_Kandui,generator,115.1190,-1.2570
267,PLTD_Sabuh,generator,114.9760,-0.9710
268,PLTD_Muara_Laung,generator,114.7320,-0.5990
269,PLTD_Tumbang_Lahung,generator,114.3020,-0.6950
270,PLTD_Karangan,generator,117.6730,1.3500
271,PLTBm_Karangan_DL,generator,117.6730,1.3500
272,PLTD_Pengadan,generator,117.6730,1.3500
273,PLTD_Muara_Wahau_Altrak,generator,116.8430,1.0450
274,PLTD_Batu_Ampar,generator,116.8310,0.6790
275,PLTD_Senyiur,generator,116.6230,0.3120
276,PLTD_Senyiur_Pemkab,generator,116.6230,0.3120
277,PLTD_Long_Segar,generator,116.8210,0.7980
278,PLTD_Gemar_Baru,generator,116.3760,0.8010
279,PLTD_Gemar_Baru_Pemkab,generator,116.3760,0.8010
280,PLTD_Muara_Pantuan,generator,117.5690,-0.5800
281,PLTD_Melak_Pemkab,generator,115.8320,-0.2120
282,PLTD_Melak_Sewatama,generator,115.8310,-0.2120
283,PLTD_Melak_Kaltimex,generator,115.8320,-0.2120
284,PLTD_Long_Iram,generator,115.6330,0.0130
285,PLTD_Long_Iram_Pemkab,generator,115.6330,0.0130
286,PLTD_Muara_Pahu,generator,116.0640,-0.3250
287,PLTD_Datah_Bilang,generator,115.4640,0.2260
288,PLTD_Long_Bagun,generator,115.2370,0.2260
289,PLTD_Long_Bagun_Pemkab,generator,115.2570,0.2060
290,PLTD_Dilang_Putih,generator,115.7660,-0.7170
291,PLTD_Tabisaq,generator,115.9210,-0.4970
292,PLTD_Kelumpang,generator,115.8230,-0.1730
