node,type,location,lon,lat,p_nom,carrier,marginal_cost,owner,build_year,bus,voltage
PLTD Sewa PGL Pangkalan Bun,generator,Kalimantan Tengah,111.731,-2.73,4,Oil,,BUMN,2012,,
PLTD Sewa Kaltimex Pangkalan Bun,generator,Kalimantan Tengah,111.731,-2.73,14,Oil,,BUMN,2012,,
PLTD Sewa UPM Pangkalan Banteng,generator,Kalimantan Tengah,111.824,-2.607,2.5,Oil,,BUMN,2018,,
PLTD Sewa Kaltimex Sampit,generator,Kalimantan Tengah,112.97,-2.516,8,Oil,,BUMN,2012,,
PLTD Kotabaru,generator,Kalimantan Selatan,116.212,-3.254,15.47,Oil,,PLN,1980,,
PLTBm Kotawaringin Barat,generator,Kalimantan Tengah,111.967,-2.052,10,Biomass,,Swasta,2018,,
PLTD Kumai,generator,N/A,111.728,-2.725,11,Oil,,PLN,2004,,
PLTD Muara Teweh,generator,Kalimantan Tengah,114.883,-0.926,8.81,Oil,,PLN,2004,,
PLTD Puruk Cahu,generator,Kalimantan Tengah,114.583,-0.583,2.19,Oil,,PLN,2000,,
PLTD Buntok,generator,N/A,114.822,-1.745,4.01,Oil,,PLN,2004,,
PLTD Sukaharja,generator,Kalimantan Barat,109.977,-1.802,14.799,Oil,,PLN,1987,,
PLTD Kendawangan Kanan,generator,Kalimantan Barat,110.207,-2.532,0.823,Oil,,PLN,1996,,
PLTD Air Hitam,generator,Kalimantan Barat,110.625,-2.793,1.05,Oil,,PLN,2001,,
PLTD Tanjung Satai,generator,Kalimantan Barat,109.682,-1.208,1.084,Oil,,PLN,1996,,
PLTD Dusun Besar,generator,Kalimantan Barat,109.461,-1.11,1.196,Oil,,PLN,1982,,
PLTD Sandai,generator,Kalimantan Barat,110.524,-1.234,1.438,Oil,,PLN,2001,,
PLTD Balai Bekuak,generator,Kalimantan Barat,110.369,-0.522,3.009,Oil,,PLN,1999,,
PLTD Aur Kuning,generator,Kalimantan Barat,110.486,-0.954,2.755,Oil,,PLN,1995,,
PLTD Ulak Medang,generator,Kalimantan Barat,110.29,-1.678,0.04,Oil,,PLN,1994,,
PLTD Sampurna,generator,Kalimantan Barat,110.455,-1.184,0.236,Oil,,PLN,1999,,
PLTD Tumbang Titi,generator,Kalimantan Barat,110.611,-1.846,1.35,Oil,,PLN,2003,,
PLTD Manis Mata,generator,Kalimantan Barat,111.028,-2.448,0.232,Oil,,PLN,1997,,
PLTD Marau,generator,Kalimantan Barat,110.708,-2.125,0.246,Oil,,PLN,1990,,
PLTMH Batu Menang,generator,Kalimantan Barat,110.959,-1.984,0.1,Run_of_River,,PLN,2007,,
PLTD Nanga Tayap,generator,Kalimantan Barat,110.563,-1.516,0.75,Oil,,PLN,N/A,,
PLTD Teluk Melano,generator,Kalimantan Barat,109.951,-1.135,7.98,Oil,,PLN,N/A,,
PLTD Air Upas,generator,Kalimantan Barat,110.8,-2.303,0.695,Oil,,PLN,N/A,,
PLTBm PT Alas Kusuma,generator,Kalimantan Barat,109.972,-1.782,3.5,Biomass,,Excess Power,N/A,,
PLTD PT. Sewatama Ketapang,generator,Kalimantan Barat,109.977,-1.802,0,Oil,,Sewa,N/A,,
PLTD PT. Sewatama Ketapang 1,generator,Kalimantan Barat,109.977,-1.802,7,Oil,,Sewa,N/A,,
PLTD PT. Koperasi Induk PLN KTP,generator,Kalimantan Barat,109.977,-1.802,3,Oil,,Sewa,N/A,,
PLTD PT. Krista Nanga Tayap,generator,Kalimantan Barat,110.563,-1.516,0,Oil,,Sewa,N/A,,
PLTD PT. Tan Energi Marau,generator,Kalimantan Barat,110.708,-2.125,3.5,Oil,,Sewa,N/A,,
PLTD PT. Aggreko Nanga Tayap,generator,Kalimantan Barat,110.572,-1.567,6,Oil,,Sewa,N/A,,
PLTD Sambas,generator,Kalimantan Barat,109.296,1.36,4.095,Oil,,PLN,1977,,
PLTMH Sajingan,generator,Kalimantan Barat,109.643,1.62,0.225,Run_of_River,,PLN,2006,,
PLTD Sentebang,generator,Kalimantan Barat,109.046,1.312,0,Oil,,PLN,1986,,
PLTD Bengkayang,generator,Kalimantan Barat,109.477,0.819,0.5,Oil,,PLN,2003,,
PLTMH Merasap,generator,Kalimantan Barat,109.744,1.124,1.5,Run_of_River,,PLN,2010,,
PLTD Cempaka Putih,generator,Kalimantan Barat,110.057,1.073,0.28,Oil,,PLN,1996,,
PLTD Lemukutan,generator,Kalimantan Barat,108.712,0.76,0.412,Oil,,PLN,2001,,
PLTD Area Singkawang,generator,Kalimantan Barat,108.98,0.912,0.16,Oil,,PLN,N/A,,
PLTS Temajuk,generator,Kalimantan Barat,109.597,2.007,0.08,Solar,,PLN,2012,,
PLTS Sidding,generator,Kalimantan Barat,110.071,1.252,0.04,Solar,,PLN,2013,,
PLTD Temajuk,generator,Kalimantan Barat,109.602,1.997,0.75,Oil,,PLN,2015,,
PLTMH Serawak Energi BHD Sajingan (B),generator,Kalimantan Barat,109.68,1.609,0.8,Run_of_River,,IPP,N/A,,
PLTD Pulau Limbung,generator,Kalimantan Barat,109.859,-0.268,0.44,Oil,,PLN,1997,,
PLTS Pulau Limbung,generator,Kalimantan Barat,109.859,-0.268,0.06,Solar,,PLN,N/A,,
PLTD Tanjung Saleh,generator,Kalimantan Barat,109.148,-0.108,0.77,Oil,,PLN,1999,,
PLTD Sepuk Laut,generator,Kalimantan Barat,109.078,-0.222,0.5,Oil,,PLN,2014,,
PLTD Ngabang,generator,Kalimantan Barat,109.864,0.386,1.72,Oil,,PLN,N/A,,
PLTD Padang Tikar,generator,Kalimantan Barat,109.272,0.682,3.375,Oil,,PLN,N/A,,
PLTD Batu Ampar,generator,Kalimantan Barat,109.537,0.749,0.576,Oil,,PLN,N/A,,
PLTBm PT Harjohn Timber,generator,Kalimantan Barat,109.447,-0.179,5,Biomass,,Excess Power,N/A,,
PLTD PT. Sewatama Ngabang,generator,Kalimantan Barat,109.864,0.386,0,Oil,,Sewa,N/A,,
PLTD Semboja,generator,Kalimantan Barat,110.56,0.135,6,Oil,,PLN,1996,,
PLTD Teraju,generator,Kalimantan Barat,110.104,-0.23,0.368,Oil,,PLN,1989,,
PLTD Kuala Buayan,generator,Kalimantan Barat,110.382,0.106,1.574,Oil,,PLN,1993,,
PLTD Balai Karangan,generator,Kalimantan Barat,110.828,0.435,4.69,Oil,,PLN,1995,,
PLTD Sekadau,generator,Kalimantan Barat,110.89,0.021,2.345,Oil,,PLN,1997,,
PLTD Belitang,generator,Kalimantan Barat,111.24,0.131,3.3,Oil,,PLN,1997,,
PLTD Seberang Kapuas,generator,Kalimantan Barat,111.152,0.106,0,Oil,,PLN,1987,,
PLTD Balai Sepuak,generator,Kalimantan Barat,111.206,0.442,0.996,Oil,,PLN,1980,,
PLTD Menyurai,generator,Kalimantan Barat,111.511,0.086,12.21,Oil,,PLN,1986,,
PLTD Nanga Silat,generator,Kalimantan Barat,111.788,0.343,0.748,Oil,,PLN,1979,,
PLTD Senaning,generator,Kalimantan Barat,111.032,0.908,0.488,Oil,,PLN,1987,,
PLTD Nanga Merakai,generator,Kalimantan Barat,111.517,0.688,0.6,Oil,,PLN,2011,,
PLTD Ketungau,generator,Kalimantan Barat,111.62,0.357,0.213,Oil,,PLN,1993,,
PLTD Tebidah,generator,Kalimantan Barat,112.184,0.252,0.36,Oil,,PLN,1997,,
PLTD Sinar Pekayau,generator,Kalimantan Barat,111.082,0.333,0.505,Oil,,PLN,1997,,
PLTD Nanga Lebang,generator,Kalimantan Barat,111.644,0.218,0.218,Oil,,PLN,1987,,
PLTD Sidomulyo Pinoh,generator,Kalimantan Barat,111.707,-0.342,0.576,Oil,,PLN,2012,,
PLTD Kota Baru,generator,Kalimantan Barat,111.542,-0.8,0.331,Oil,,PLN,1997,,
PLTD Serawai,generator,Kalimantan Barat,112.439,-0.331,1.896,Oil,,PLN,1988,,
PLTD Manukung,generator,Kalimantan Barat,112.227,-0.418,0.232,Oil,,PLN,1998,,
PLTD Nanga Ella,generator,Kalimantan Barat,112.003,-0.398,1.445,Oil,,PLN,2005,,
PLTD Nanga Sayan,generator,Kalimantan Barat,111.676,-0.714,1.029,Oil,,PLN,1993,,
PLTD Bora,generator,Kalimantan Barat,111.764,-0.628,1.078,Oil,,PLN,1997,,
PLTMH Bora,generator,Kalimantan Barat,111.775,-0.633,0.2,Run_of_River,,PLN,N/A,,
