" ,node,type,lon,lat,p_nom, "
" ,PLTD_Kemangai,generator,112.71,-0.243,0.216, "
" ,PLTD_Sawai,generator,112.927,0.885,12.4849999999999, "
" ,PLTD_Semitau,generator,111.96,0.543,4.748, "
" ,PLTD_Bunut,generator,112.655,0.528,0.57, "
" ,PLTD_Jongkong,generator,112.278,0.665,1.39, "
" ,PLTD_Embaloh,generator,112.602,0.831,0.601, "
" ,PLTD_Lanjak,generator,112.238,1.034,0.66, "
" ,PLTD_Tepuai,generator,112.303,0.37,3.99, "
" ,PLTD_Seberuang,generator,111.888,0.465,0.162, "
" ,PLTD_Nanga_Erak,generator,113.154,0.372,0.57, "
" ,PLTD_Belikai,generator,112.137,0.33,0.3, "
" ,PLTD_Kantuk,generator,110.607,0.124,0.14, "
" ,PLTD_Piasak,generator,112.723,0.659,0.222, "
" ,PLTD_Nibung,generator,112.178,0.334,0.08, "
" ,PLTD_Ujung_Said,generator,112.378,0.67,0.496, "
" ,PLTD_Pulau_Majang,generator,111.994,0.901,0.156, "
" ,PLTD_Ulak_Pauk,generator,112.491,1.062,0.238, "
" ,PLTD_Badau,generator,111.903,1.044,2.085, "
" ,PLTD_Jasa,generator,111.148,1.004,0.306, "
" ,PLTMH_Serawak_Energi_BHD_Badau_(B),generator,111.872,1.033,0.32, "
" ,PLTMH_Serawak_Energi_BHD_Balai_Karangan_(B),generator,110.355,0.988,1.12, "
" ,PLTD_Sewatama_Semboja,generator,110.56,0.135,5, "
" ,PLTD_Aggreko_Semboja,generator,110.56,0.134,7, "
" ,PLTD_ENSAS_Sekadau,generator,110.89,0.021,8, "
" ,PLTD_Aggreko_Menyurai,generator,111.511,0.085,7, "
" ,PLTD_Sewatama_Pinoh,generator,111.707,-0.342,7, "
" ,PLTD_Makro_SPE_Pinoh,generator,111.707,-0.342,1, "
" ,PLTD_Makro_SPE_Balai_Karanga,generator,110.828,0.435,2, "
" ,PLTD_Makro_SPE_Kota_Baru,generator,111.542,0.8,1, "
" ,PLTD_Makro_Sintang,generator,111.511,0.085,2, "
" ,PLTD_ULD_Benua_Riam,generator,115.226,-3.094,0.18, "
" ,PLTD_ULD_Rantau_Bujur,generator,115.199,-3.082,0.42, "
" ,PLTD_ULD_Tumbang_Jutuh,generator,113.572,-1.289,2.1, "
" ,PLTD_ULD_Tumbang_Talaken,generator,113.378,-1.361,1, "
" ,PLTD_ULD_Tewah,generator,112.122,-1.936,1.584, "
" ,PLTD_ULD_Tumbang_Miri,generator,113.55,-0.916,1.06, "
" ,PLTD_ULD_Tumbang_Tambirah,generator,113.823,-1.065,0.16, "
" ,PLTD_ULD_Tumbang_Miwan,generator,113.872,-1.217,0.616, "
" ,PLTD_ULD_Tumbang_Kaman,generator,113.093,-1.346,1.22, "
" ,PLTD_ULD_Tumbang_Hiran,generator,112.691,-1.188,0.56, "
" ,PLTD_ULD_Tumbang_Senamang,generator,112.425,-1.161,0.46, "
" ,PLTD_ULD_Telaga,generator,113.33,-2.421,0.12, "
" ,PLTD_Pagatan,generator,113.33,-3.256,5, "
" ,PLTD_Telaga_Pulang,generator,112.27,-2.864,0.45, "
" ,PLTD_Mendawai,generator,113.269,-2.989,1.352, "
" ,PLTD_Pangkut,generator,111.92,-2.192,0.8, "
" ,PLTD_Kenambui,generator,111.792,-2.476,0.12, "
" ,PLTD_Rantau_Pulut,generator,112.186,-2.048,0.96, "
" ,PLTD_Sukamandang,generator,112.186,-2.048,1.1, "
" ,PLTD_Tumbang_Manjul,generator,111.928,-1.301,0.498, "
