nodeA,nodeB,bus0,bus1,voltage,cables,wires,frequency,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,lon0,lat0,lon1,lat1,wkt_srid_4326
PLTMH Merasap,,,,,,,,,,,,,109.744,1.124,,,
PLTD Cempaka Putih,,,,,,,,,,,,,110.057,1.073,,,
PLTD Lemukutan,,,,,,,,,,,,,108.712,0.76,,,
PLTD Area Singkawang,,,,,,,,,,,,,108.98,0.912,,,
PLTS Temajuk,,,,,,,,,,,,,109.597,2.007,,,
PLTS Sidding,,,,,,,,,,,,,110.071,1.252,,,
PLTD Temajuk,,,,,,,,,,,,,109.602,1.997,,,
PLTMH Serawak Energi BHD Sajingan (B),,,,,,,,,,,,,109.68,1.609,,,
PLTD Pulau Limbung,,,,,,,,,,,,,109.859,-0.268,,,
PLTS Pulau Limbung,,,,,,,,,,,,,109.859,-0.268,,,
PLTD Tanjung Saleh,,,,,,,,,,,,,109.148,-0.108,,,
PLTD Sepuk Laut,,,,,,,,,,,,,109.078,-0.222,,,
PLTD Ngabang,,,,,,,,,,,,,109.864,0.386,,,
PLTD Padang Tikar,,,,,,,,,,,,,109.272,0.682,,,
PLTD Batu Ampar,,,,,,,,,,,,,109.537,0.749,,,
PLTBm PT Harjohn Timber,,,,,,,,,,,,,109.447,-0.179,,,
PLTD PT. Sewatama Ngabang,,,,,,,,,,,,,109.864,0.386,,,
PLTD Semboja,,,,,,,,,,,,,110.56,0.135,,,
PLTD Teraju,,,,,,,,,,,,,110.104,-0.23,,,
PLTD Kuala Buayan,,,,,,,,,,,,,110.382,0.106,,,
PLTD Balai Karangan,,,,,,,,,,,,,110.828,0.435,,,
PLTD Sekadau,,,,,,,,,,,,,110.89,0.021,,,
PLTD Belitang,,,,,,,,,,,,,111.24,0.131,,,
PLTD Seberang Kapuas,,,,,,,,,,,,,111.152,0.106,,,
PLTD Balai Sepuak,,,,,,,,,,,,,111.206,0.442,,,
PLTD Menyurai,,,,,,,,,,,,,111.511,0.086,,,
PLTD Nanga Silat,,,,,,,,,,,,,111.788,0.343,,,
PLTD Senaning,,,,,,,,,,,,,111.032,0.908,,,
PLTD Nanga Merakai,,,,,,,,,,,,,111.517,0.688,,,
