" ,node,type,node1,lon,lat,length_m, "
" ,PLTD_Long_Segar,generator,,116.821,0.798,, "
" ,PLTD_Gemar_Baru,generator,,116.376,0.801,, "
" ,PLTD_Gemar_Baru_Pemkab,generator,,116.376,0.801,, "
" ,PLTD_Muara_Pantuan,generator,,117.569,-0.58,, "
" ,PLTD_Melak_Pemkab,generator,,115.832,-0.212,, "
" ,PLTD_Melak_Sewatama,generator,,115.831,-0.212,, "
" ,PLTD_Melak_Kaltimex,generator,,115.832,-0.212,, "
" ,PLTD_Long_Iram,generator,,115.633,0.013,, "
" ,PLTD_Long_Iram_Pemkab,generator,,115.633,0.013,, "
" ,PLTD_Muara_Pahu,generator,,116.064,-0.325,, "
" ,PLTD_Datah_Bilang,generator,,115.464,0.226,, "
" ,PLTD_Long_Bagun,generator,,115.237,0.226,, "
" ,PLTD_Long_Bagun_Pemkab,generator,,115.257,0.206,, "
" ,PLTD_Dilang_Putih,generator,,115.766,-0.717,, "
" ,PLTD_Tabisaq,generator,,115.921,-0.497,, "
" ,PLTD_Kelumpang,generator,,115.823,-0.173,, "
" ,PLTD_Muara_Muntai,generator,,116.474,-0.643,, "
" ,PLTD_Penyinggahan,generator,,116.223,-0.387,, "
" ,PLTD_Tanjung_Isuy,generator,,116.14,-0.514,, "
" ,PLTD_Muara_Siran,generator,,116.636,-0.128,, "
" ,PLTD_Muara_Kedang,generator,,116.298,-0.567,, "
" ,PLTD_Semayang,generator,,116.452,-0.183,, "
" ,PLTD_Jantur,generator,,116.29,-0.42,, "
" ,PLTD_Tabang,generator,,115.927,0.673,, "
" ,PLTD_Muara_Aloh,generator,,116.352,-0.432,, "
" ,PLTD_Sedulang,generator,,116.811,-0.125,, "
" ,PLTD_Long_Apari,generator,,114.534,0.812,, "
" ,PLTD_Long_Pahangai,generator,,114.709,0.883,, "
" ,PLTBg_Rea_Kaltim,generator,,115.801,-0.242,, "
" ,PLTD_Samabliung_Kaltimex,generator,,117.511,2.158,, "
" ,PLTD_Bunyu,generator,,117.845,3.469,, "
" ,PLTD_Atap,generator,,117.049,3.855,, "
" ,PLTD_Tanah_Merah,generator,,117.54,3.764,, "
" ,PLTD_Sekatak_Pemkab,generator,,117.07,3.307,, "
" ,PLTD_Sekatak,generator,,117.07,3.307,, "
" ,PLTD_Malinau_Pemkab,generator,,116.611,3.541,, "
" ,PLTD_Biduk-Biduk,generator,,118.746,1.216,, "
